client_id,age,income,loan_amount,loan_term,credit_score,employment_years,married,num_children,education_level,default
1,56,10767500,10685684,40,740,22,0,4,3,0
2,46,22976807,15321905,33,540,21,1,1,3,0
3,32,24277761,18958103,19,453,1,1,0,1,0
4,60,10291923,27973434,15,395,22,0,4,1,1
5,25,21931456,22217066,21,593,10,0,1,2,0
6,38,9796324,8536765,21,508,27,0,3,2,0
7,56,13643208,28914209,59,642,13,1,1,3,1
8,36,12373904,13103896,36,387,29,1,2,2,0
9,40,10112074,28090225,47,689,4,1,1,2,1
10,28,20967438,19673436,30,624,5,1,2,3,0
11,28,14138391,4138744,18,456,9,0,1,2,0
12,41,21496485,9535078,11,436,7,1,2,2,0
13,53,24449570,7935774,49,727,13,1,3,3,0
14,57,23982813,19144439,14,751,23,1,4,3,0
15,41,24062174,27220970,50,440,2,0,2,1,0
16,20,12713405,20205297,41,382,11,1,2,3,1
17,39,18265147,29844950,48,476,15,1,3,1,0
18,19,19563883,13033451,25,497,27,0,2,2,0
19,41,11742257,5273445,23,720,29,1,0,3,0
20,61,15961076,4184790,48,700,22,1,3,3,0
21,47,20489719,29072319,26,770,16,0,0,3,0
22,55,5609736,14926188,9,517,0,1,3,2,1
23,19,10060833,13529971,55,474,22,1,2,1,0
24,38,8638155,7681935,38,322,9,1,0,2,0
25,50,20161634,10963441,32,534,24,0,2,2,0
26,29,19163810,29093161,12,312,22,1,3,3,1
27,39,21646976,28214715,11,400,9,1,2,1,0
28,61,14225855,7689142,20,835,20,0,0,2,0
29,42,19869717,27336263,23,822,23,0,0,3,0
30,44,7238331,5990961,37,751,1,1,2,2,0
31,59,3135964,4646804,16,730,8,1,1,2,0
32,45,4155748,1647296,25,832,21,1,3,3,0
33,33,13433787,19326518,29,592,12,1,3,3,0
34,32,22702498,4122951,20,400,24,0,2,1,0
35,64,2873172,27844511,53,801,15,1,1,2,1
36,61,10910852,1800101,12,603,17,0,0,3,0
37,20,7655378,5100612,26,839,18,0,4,3,0
38,54,6873594,11348014,47,654,11,1,4,1,0
39,24,6063309,23655061,31,602,7,1,2,1,1
40,38,8941245,23791342,49,795,16,0,1,3,1
41,26,17876696,23015777,19,526,14,0,1,1,0
42,56,11451244,24116992,42,535,9,1,3,3,1
43,35,12175529,10353526,26,754,14,0,0,2,0
44,21,9817304,9885366,23,312,14,1,1,1,0
45,42,16150033,16292361,10,509,22,1,4,2,0
46,31,19606951,9121757,8,696,6,0,0,2,0
47,26,9021862,22420145,28,399,12,0,0,2,1
48,43,14218983,9417233,31,330,16,1,2,3,0
49,19,10351245,3833552,42,827,8,0,1,2,0
50,37,7282591,12820569,29,628,7,1,2,2,0
51,45,9483058,8376519,54,465,19,1,1,2,0
52,64,21339685,23479150,24,758,25,1,3,3,0
53,24,5086176,2276647,56,399,26,0,2,2,0
54,61,7345854,13431216,30,472,20,1,2,2,1
55,25,13683982,17040922,26,461,17,1,4,1,0
56,64,18320656,6416775,17,562,12,1,2,3,0
57,52,6883680,28693400,46,573,15,1,1,2,1
58,31,5681262,9704813,38,302,8,1,4,1,1
59,34,6633078,20822531,55,327,11,1,2,3,1
60,53,4609089,20921696,58,625,11,1,2,3,1
61,57,21285965,21348050,9,448,5,1,3,3,0
62,21,19691444,15497054,47,839,18,1,2,3,0
63,19,2953959,12319247,12,787,27,1,0,3,1
64,23,12578023,29030605,27,737,6,1,4,3,1
65,59,18264230,14913140,38,364,24,0,0,2,0
66,21,9905477,13494127,22,655,2,1,4,2,0
67,46,12016389,13006468,29,832,15,1,3,2,0
68,35,22146754,22605977,39,551,17,1,2,2,0
69,43,13630982,21717501,33,534,15,0,2,1,0
70,61,19122482,7851803,48,526,22,1,2,2,0
71,51,13460083,14045697,46,824,6,0,4,3,0
72,27,23314574,15566079,44,612,3,1,2,2,0
73,53,17586926,6742533,27,348,26,1,0,2,0
74,31,14392092,25101438,54,417,24,0,2,3,1
75,48,15899040,3627144,22,353,29,1,3,2,0
76,32,11496563,3825896,39,343,7,0,0,2,0
77,25,16034150,5936792,11,352,12,0,2,2,0
78,31,14190618,16315631,51,824,12,1,2,1,0
79,40,15904421,11427148,11,401,16,1,1,2,0
80,57,12321336,5876872,39,697,16,1,4,3,0
81,38,18559100,20517172,6,437,4,1,0,3,0
82,33,24052250,20397196,15,686,5,0,1,2,0
83,62,9553974,18498600,26,410,18,0,3,2,1
84,35,12750240,16099203,10,316,12,1,4,2,0
85,64,11803005,9908385,7,481,24,0,0,3,0
86,41,8097091,25493436,27,835,27,0,2,3,1
87,43,15428545,29865005,53,840,25,1,0,1,0
88,42,21955209,17320131,7,470,13,0,2,1,0
89,62,9705092,16165029,15,708,21,0,4,1,0
90,58,9583354,3887698,39,677,3,1,2,3,0
91,46,21908425,14565381,21,487,27,0,3,1,0
92,32,7813365,13619233,53,529,6,1,2,2,1
93,62,6057893,20209809,56,418,7,0,3,2,1
94,18,24468492,13417420,44,455,24,1,4,3,0
95,42,7397662,5031464,27,764,12,0,4,1,0
96,24,18413486,21167958,17,403,26,0,0,2,0
97,26,13606243,26322322,29,801,5,1,3,3,0
98,41,18643948,8357804,52,474,5,1,3,1,0
99,18,12688727,23910282,45,720,23,1,1,2,0
100,61,12288051,3887296,43,433,27,1,1,1,0
101,25,11828366,13977495,15,690,20,0,1,3,0
102,41,3805468,24307061,40,800,29,0,2,1,1
103,28,5427975,3736582,56,332,2,0,1,3,0
104,34,8356228,25733272,54,354,27,1,3,1,1
105,25,10514716,2100500,37,818,2,0,2,2,0
106,52,13548718,19353806,12,311,12,0,4,3,1
107,52,13618627,23371392,26,827,21,1,0,3,0
108,50,17043403,2961977,25,672,1,1,1,3,0
109,22,7525633,24827142,31,783,15,0,4,1,1
110,59,20857370,5032654,9,527,21,1,3,1,0
111,56,4244702,1664468,51,606,28,0,0,2,0
112,58,22154994,24277458,57,756,5,0,4,3,0
113,45,14920739,25677179,27,459,7,1,0,3,1
114,24,17727907,7978140,20,630,22,0,1,1,0
115,26,24512409,15521816,45,524,7,1,3,1,0
116,25,9726890,12748768,26,803,29,1,0,2,0
117,29,24674714,14611312,20,755,24,0,4,2,0
118,51,10357956,29451551,27,344,5,0,1,1,1
119,50,10204298,27045936,57,513,13,0,1,3,1
120,40,11451337,4037099,33,358,2,1,4,2,0
121,41,24620709,13384217,19,494,9,0,4,1,0
122,54,5386501,5828426,32,788,2,1,0,1,0
123,52,12367687,9100706,46,456,26,1,2,3,0
124,61,9395350,19820039,45,525,11,0,1,1,1
125,57,6588334,18825389,33,711,16,1,0,1,1
126,39,10464685,9379341,31,504,26,0,4,2,0
127,44,23105035,10890633,54,378,28,0,0,1,0
128,52,3255564,7579137,7,423,4,0,4,1,1
129,18,10930264,11980269,30,770,29,0,3,2,0
130,52,12673774,2912584,8,517,19,0,4,3,0
131,54,23201723,21554754,13,815,24,0,4,3,0
132,64,12440139,15178388,49,403,8,0,4,2,0
133,31,4792427,18002265,38,692,29,1,2,2,1
134,20,13309411,27483015,47,733,20,0,4,3,1
