customer_ref,application_id,application_hour,application_day_of_week,account_open_year,preferred_contact,referral_code,account_status_code,random_noise_1,num_login_sessions,num_customer_service_calls,has_mobile_app,paperless_billing,default
10000,620515,5,6,2013,Mail,REF0000,ACT-2,1.1370993069196655,13,2,1,1,0
10001,624978,4,2,2015,Phone,REF0000,ACT-3,-0.16493204190326527,6,1,1,1,1
10002,564658,10,3,2020,Phone,REF0000,ACT-3,0.5267001761250945,1,2,1,0,0
10003,621493,7,5,2010,Email,REF0000,A01,-0.7097789491955246,4,1,1,1,0
10004,637785,1,2,2020,Mail,REF0000,ACT-3,-0.6031324854465735,6,2,1,0,0
10005,621228,9,3,2017,Phone,REF0000,ACT-1,0.06002838411741669,5,3,1,0,0
10006,628798,4,0,2016,Email,REF0000,ACT-3,0.3254789285518872,5,2,1,0,0
10007,625711,23,5,2023,Email,REF0000,ACTIVE,0.6586479826106998,5,2,1,1,0
10008,605561,1,1,2017,Email,REF0000,ACT-2,0.22484000908777846,13,1,0,1,0
10009,594868,15,5,2016,Phone,REF0000,ACT-1,1.074506279068799,11,0,1,0,0
10010,572495,13,6,2015,Email,REF0000,ACT-3,-1.057178116474657,9,2,1,1,0
10011,586935,14,6,2018,Phone,REF0000,ACT-1,0.016820616438085027,6,0,1,0,0
10012,589874,13,4,2022,Mail,REF0000,ACT-1,1.3336294389228884,12,3,0,0,0
10013,561432,12,2,2021,Email,REF0000,A01,-0.9997033749257418,4,3,1,1,0
10014,565218,18,2,2017,Phone,REF0000,ACT-3,1.4931612687923177,16,1,0,1,1
10015,633496,14,4,2022,Email,REF0000,A01,-1.9579473563048397,13,2,1,1,0
10016,544943,14,2,2022,Email,REF0000,ACT-3,1.2525755219029626,5,0,1,1,0
10017,546555,16,2,2021,Phone,REF0000,A01,-0.7600419669874054,10,4,1,1,0
10018,607914,2,4,2011,Email,REF0000,ACT-2,-0.31649708447013475,5,0,1,0,0
10019,613955,18,2,2012,Phone,REF9753,ACT-3,-0.1794146909713645,8,2,1,0,0
10020,609677,3,4,2017,Mail,REF0000,ACTIVE,0.5531730265113123,4,6,1,0,0
10021,547289,4,6,2022,Phone,REF0000,ACT-3,-2.0693921617751454,2,1,1,0,0
10022,625090,13,0,2011,Email,REF0000,ACTIVE,-0.28431880558409295,7,1,1,1,0
10023,564241,2,4,2014,Email,REF8457,ACT-3,-0.24151909172955097,23,4,0,1,0
10024,586125,7,0,2012,Email,REF0000,ACT-1,1.5271317305954284,16,2,1,0,1
10025,559682,3,5,2023,Phone,REF0000,ACT-2,2.3637458556710347,8,3,1,0,0
10026,633430,12,0,2019,Mail,REF2750,ACTIVE,1.5893863848378542,12,0,1,0,0
10027,639686,11,3,2011,Email,REF0000,ACT-3,-0.8638919000752899,11,0,0,1,0
10028,637525,1,0,2021,Email,REF0000,ACT-1,0.07987773976126868,7,2,1,1,0
10029,573924,19,3,2013,Phone,REF0000,A01,0.5746577112120012,15,3,0,1,0
10030,623816,6,5,2016,Email,REF0000,A01,0.526692399115,2,4,1,1,0
10031,629730,5,3,2013,Email,REF0000,ACT-1,0.6164431329446223,14,3,0,1,0
10032,561615,4,4,2015,Phone,REF4672,ACTIVE,-0.13393693298827009,13,5,0,0,0
10033,581527,8,3,2011,Email,REF0000,A01,0.48851941796868864,4,2,1,1,0
10034,560396,20,4,2023,Email,REF0000,ACT-2,0.6154816104321741,15,0,1,1,0
10035,573327,12,5,2017,Phone,REF0000,ACT-2,2.5937034832277672,5,2,1,1,1
10036,614563,5,5,2010,Email,REF0000,ACT-3,2.0352955156018764,7,3,1,0,0
10037,556199,13,3,2021,Email,REF6358,ACTIVE,-0.052441615865617526,4,2,1,0,1
10038,641646,5,3,2021,Phone,REF0000,ACTIVE,2.107192636162272,9,1,1,1,0
10039,560924,6,6,2018,Phone,REF0000,A01,-0.5870541322469336,11,4,0,1,0
