cust_id,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents,employment_type_num,education_num,marital_status_num
10000,41,0.34949248340328753,0.14492753623188406,full-time,graduate,married,0.4,0.0,1.0,0.5
10001,38,0.07190515208775772,0.4927536231884058,full-time,high school,married,0.0,0.0,0.0,0.5
10002,18,0.005852744937375615,0.04347826086956522,full-time,bachelor,single,0.0,0.0,0.5,0.0
10003,27,0.0953161318372602,0.3333333333333333,full-time,bachelor,single,0.0,0.0,0.5,0.0
10004,26,0.03846089530275412,0.36231884057971014,full-time,high school,single,0.0,0.0,0.0,0.0
10005,22,0.30183441748465745,0.32608695652173914,full-time,graduate,married,0.0,0.0,1.0,0.5
10006,32,0.14297419775589035,0.2536231884057971,full-time,high school,married,0.0,0.0,0.0,0.5
10007,42,0.12207153726526312,0.10869565217391305,full-time,high school,married,0.4,0.0,0.0,0.5
10008,52,0.051838598016755555,0.36231884057971014,full-time,Some College,married,0.4,0.0,,0.5
10009,45,0.33527867426966096,0.7753623188405798,part-time,high school,married,0.0,0.3333333333333333,0.0,0.5
10010,35,0.013377702714001433,0.17391304347826086,self-employed,Some College,single,0.0,0.6666666666666666,,0.0
10011,38,0.025919299008377777,0.36231884057971014,full-time,high school,married,0.6000000000000001,0.0,0.0,0.5
10012,36,0.28344007625290546,0.40579710144927533,full-time,bachelor,single,0.0,0.0,0.5,0.0
10013,41,0.02926372468687813,0.3913043478260869,full-time,Advanced,divorced,0.0,0.0,,1.0
10014,53,0.43059480610692125,0.32608695652173914,self-employed,bachelor,married,0.4,0.6666666666666666,0.5,0.5
10015,33,0.009197170615875966,0.5217391304347827,full-time,Some College,single,0.2,0.0,,0.0
10016,18,0.010033277035501081,0.021739130434782608,full-time,high school,single,0.0,0.0,0.0,0.0
10017,44,0.1371214528185147,0.40579710144927533,self-employed,bachelor,divorced,0.0,0.6666666666666666,0.5,1.0
10018,27,0.0,0.6666666666666667,full-time,high school,divorced,0.4,0.0,0.0,1.0
10019,56,0.7784150766709586,0.3913043478260869,part-time,bachelor,married,0.0,0.3333333333333333,0.5,0.5
10020,37,0.28093175699403017,0.32608695652173914,full-time,graduate,married,0.4,0.0,1.0,0.5
10021,18,0.0,0.03623188405797101,part-time,high school,married,0.0,0.3333333333333333,0.0,0.5
10022,22,0.0,0.32608695652173914,full-time,graduate,single,0.6000000000000001,0.0,1.0,0.0
10023,58,0.1722379224427685,0.5507246376811594,full-time,high school,divorced,0.2,0.0,0.0,1.0
10024,56,0.14297419775589035,0.2681159420289855,contract,bachelor,divorced,0.0,1.0,0.5,1.0
10025,34,0.020066554071002135,0.10144927536231885,full-time,high school,married,0.4,0.0,0.0,0.5
