employment_type,education,marital_status
full-time,graduate,married
full-time,high school,married
full-time,bachelor,single
full-time,bachelor,single
full-time,high school,single
full-time,graduate,married
full-time,high school,married
full-time,high school,married
full-time,Some College,married
part-time,high school,married
self-employed,Some College,single
full-time,high school,married
full-time,bachelor,single
full-time,Advanced,divorced
self-employed,bachelor,married
full-time,Some College,single
full-time,high school,single
self-employed,bachelor,divorced
full-time,high school,divorced
part-time,bachelor,married
full-time,graduate,married
part-time,high school,married
full-time,graduate,single
full-time,high school,divorced
contract,bachelor,divorced
full-time,high school,married
self-employed,bachelor,married
self-employed,high school,single
full-time,bachelor,married
full-time,high school,married
full-time,high school,single
self-employed,graduate,divorced
full-time,bachelor,married
full-time,Advanced,married
full-time,Advanced,married
full-time,Some College,married
full-time,high school,single
full-time,bachelor,single
part-time,graduate,married
full-time,bachelor,single
full-time,high school,single
part-time,high school,married
full-time,bachelor,single
self-employed,graduate,single
full-time,bachelor,married
full-time,high school,married
self-employed,bachelor,single
full-time,Some College,married
self-employed,Some College,married
self-employed,high school,divorced
full-time,high school,married
full-time,graduate,single
full-time,high school,married
self-employed,graduate,single
full-time,Advanced,single
full-time,Some College,single
part-time,high school,single
self-employed,high school,divorced
contract,high school,married
full-time,bachelor,single
full-time,graduate,divorced
contract,high school,married
full-time,high school,married
full-time,high school,married
self-employed,bachelor,married
self-employed,Advanced,married
self-employed,bachelor,married
full-time,bachelor,divorced
full-time,bachelor,divorced
full-time,bachelor,single
full-time,bachelor,single
full-time,bachelor,married
part-time,Some College,married
full-time,high school,divorced
full-time,Some College,married
full-time,bachelor,married
full-time,bachelor,single
full-time,high school,married
self-employed,Some College,married
full-time,bachelor,married
contract,bachelor,married
full-time,Some College,single
part-time,Advanced,single
full-time,high school,single
full-time,Advanced,single
self-employed,high school,single
self-employed,graduate,single
full-time,Some College,single
full-time,bachelor,single
full-time,Some College,married
full-time,high school,single
full-time,high school,single
part-time,bachelor,single
self-employed,Some College,married
self-employed,Advanced,married
full-time,high school,single
