cust_id,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents
10899.98,41,61800,2.2,full-time,Graduate,Married,2
10899.98,38,28600,7.0,Full-time,High School,Married,0
10899.98,18,20700,0.8,Full-time,Bachelor,Single,0
10899.98,27,31400,4.8,Full-time,Bachelor,Single,0
10899.98,26,24600,5.2,fulltime,High School,Single,0
10899.98,22,56100,4.7,full-time,Graduate,Married,0
10899.98,32,37100,3.7,full-time,High School,Married,0
10899.98,42,34600,1.7,Full-time,High School,Married,2
10899.98,52,26200,5.2,fulltime,Some College,Married,2
10899.98,45,60100,10.9,part time,High School,Married,0
10899.98,35,21600,2.6,self employed,Some College,Single,0
10899.98,38,23100,5.2,ft,High School,Married,3
10899.98,36,53900,5.8,Full-time,Bachelor,Single,0
10899.98,41,23500,5.6,ft,Advanced,Divorced,0
10899.98,53,71500,4.7,self emp,Bachelor,Married,2
10899.98,33,21100,7.4,full-time,Some College,Single,1
10899.98,18,21200,0.5,full-time,High School,Single,0
10899.98,44,36400,5.8,self emp,Bachelor,Divorced,0
10899.98,27,20000,9.4,Full-time,High School,Divorced,2
10899.98,56,113100,5.6,part time,Bachelor,Married,0
10899.98,37,53600,4.7,ft,Graduate,Married,2
10899.98,18,20000,0.7,part time,High School,Married,0
10899.98,22,20000,4.7,Full-time,Graduate,Single,3
10899.98,58,40600,7.8,ft,High School,Divorced,1
10899.98,56,37100,3.9,contractor,Bachelor,Divorced,0
10899.98,34,22400,1.6,ft,High School,Married,2
10899.98,45,56900,7.0,self-employed,Bachelor,Married,1
10899.98,52,58600,3.3,self emp,High School,Single,2
10899.98,33,36000,3.4,Full-time,Bachelor,Married,2
10899.98,39,31600,12.7,Full-time,High School,Married,3
10899.98,20,20000,2.4,Full-time,High School,Single,0
10899.98,44,132200,2.7,self employed,Graduate,Divorced,0
10899.98,50,48100,3.8,ft,Bachelor,Married,0
10899.98,36,85100,0.2,Full-time,Advanced,Married,3
10899.98,47,115600,11.4,ft,Advanced,Married,3
10899.98,23,23900,5.4,ft,Some College,Married,0
10899.98,52,20300,4.5,full-time,High School,Single,1
10899.98,24,20000,2.5,fulltime,Bachelor,Single,1
10899.98,35,38200,1.4,part time,Graduate,Married,0
10899.98,39,22200,3.3,ft,Bachelor,Single,1
10899.98,18,20000,0.2,full-time,High School,Single,1
10899.98,69,20000,1.6,part time,High School,Married,4
10899.98,25,67800,7.4,fulltime,Bachelor,Single,1
10899.98,44,102800,6.6,self emp,Graduate,Single,1
10899.98,35,29900,4.4,ft,Bachelor,Married,2
10899.98,49,49000,5.9,Full-time,High School,Married,1
10899.98,20,28900,2.4,self employed,Bachelor,Single,1
10899.98,31,40000,1.7,full-time,Some College,Married,0
10899.98,32,21300,7.9,self-employed,Some College,Married,1
10899.98,44,67100,1.0,self-employed,High School,Divorced,1
10899.98,38,37500,9.4,Full-time,High School,Married,2
10899.98,42,71700,6.5,Full-time,Graduate,Single,2
10899.98,39,24800,7.8,full-time,High School,Married,1
10899.98,25,61000,1.3,self employed,Graduate,Single,1
10899.98,37,98600,4.3,Full-time,Advanced,Single,1
10899.98,53,39100,7.3,fulltime,Some College,Single,1
10899.98,28,45900,9.8,part time,High School,Single,2
10899.98,33,20000,8.6,self employed,High School,Divorced,1
10899.98,39,20000,4.0,contract,High School,Married,3
10899.98,23,61400,1.9,ft,Bachelor,Single,0
10899.98,40,49700,0.9,full-time,Graduate,Divorced,0
10899.98,29,21300,1.3,contractor,High School,Married,4
10899.98,41,39500,5.2,fulltime,High School,Married,3
10899.98,56,34100,5.2,Full-time,High School,Married,0
10899.98,41,23400,7.2,self emp,Bachelor,Married,3
10899.98,37,104300,6.0,self employed,Advanced,Married,2
10899.98,61,83500,1.5,self emp,Bachelor,Married,1
10899.98,59,40500,0.7,full-time,Bachelor,Divorced,1
10899.98,46,27700,8.4,Full-time,Bachelor,Divorced,2
10899.98,44,20000,6.5,full-time,Bachelor,Single,2
10899.98,35,29800,14.0,ft,Bachelor,Single,3
10899.98,35,56200,9.3,fulltime,Bachelor,Married,1
10899.98,31,31200,10.0,part time,Some College,Married,2
10899.98,53,37300,0.6,Full-time,High School,Divorced,1
10899.98,45,42600,7.1,full-time,Some College,Married,2
10899.98,43,27500,6.1,Full-time,Bachelor,Married,0
10899.98,27,38000,4.9,ft,Bachelor,Single,1
10899.98,51,85600,7.8,full-time,High School,Married,1
10899.98,49,100300,0.2,self employed,Some College,Married,3
10899.98,50,69200,6.0,ft,Bachelor,Married,1
10899.98,40,34100,1.7,contract,Bachelor,Married,1
10899.98,30,49200,7.0,Full-time,Some College,Single,1
10899.98,49,56700,11.0,part time,Advanced,Single,0
10899.98,49,34800,1.3,ft,High School,Single,1
10899.98,32,100200,8.6,full-time,Advanced,Single,2
10899.98,31,23900,3.9,self employed,High School,Single,0
10899.98,47,56300,4.7,self employed,Graduate,Single,1
10899.98,25,20700,6.7,Full-time,Some College,Single,2
10899.98,22,22500,5.2,ft,Bachelor,Single,2
10899.98,34,139602,4.6,fulltime,Some College,Married,2
10899.98,27,20000,4.4,Full-time,High School,Single,0
10899.98,21,20000,3.6,fulltime,High School,Single,1
10899.98,25,54500,7.3,part time,Bachelor,Single,2
10899.98,42,23400,11.5,self-employed,Some College,Married,0
10899.98,51,99500,7.2,self-employed,Advanced,Married,2
10899.98,33,40700,7.6,ft,High School,Single,0
10899.98,34,28500,6.2,contractor,Graduate,Married,2
10899.98,27,51500,2.0,pt,Graduate,Married,0
10899.98,40,92200,1.1,full-time,Some College,Married,1
10899.98,29,47900,1.4,contract,Advanced,Married,4
10899.98,53,54900,8.7,Full-time,Bachelor,Married,0
10899.98,22,20000,4.9,Full-time,High School,Single,1
10899.98,52,26100,9.2,part time,Bachelor,Married,1
10899.98,50,63100,4.2,Full-time,Graduate,Single,2
10899.98,32,46400,7.9,part-time,Some College,Married,0
10899.98,28,139400,3.3,full-time,Advanced,Single,0
10899.98,37,26700,0.2,Full-time,Some College,Married,3
10899.98,32,40500,1.9,part time,Some College,Married,0
10899.98,48,77700,4.4,Full-time,Advanced,Married,2
10899.98,53,57700,4.5,Full-time,Some College,Married,1
10899.98,34,67100,10.8,Full-time,Bachelor,Single,1
10899.98,44,96500,3.7,fulltime,Graduate,Divorced,0
10899.98,40,139602,2.9,self emp,Some College,Married,1
10899.98,29,20000,7.8,contract,Some College,Single,0
10899.98,30,67200,2.5,ft,Graduate,Married,0
10899.98,44,48700,7.6,ft,High School,Married,1
10899.98,27,30700,2.5,part-time,Some College,Married,0
10899.98,63,20000,9.3,part time,Bachelor,Married,2
10899.98,66,23500,3.4,Full-time,Some College,Divorced,0
10899.98,28,41500,7.8,pt,Bachelor,Single,3
10899.98,53,42800,5.1,self employed,Some College,Married,3
10899.98,33,31500,8.6,full-time,Some College,Single,1
10899.98,32,34400,9.9,Full-time,Bachelor,Married,0
10899.98,26,37400,7.5,contract,Graduate,Single,1
10899.98,42,36200,0.9,self emp,Bachelor,Single,2
10899.98,40,95900,4.0,Full-time,Bachelor,Married,2
10899.98,42,87500,8.5,fulltime,Bachelor,Married,1
10899.98,32,63600,3.5,ft,Advanced,Married,0
10899.98,39,20000,8.6,Full-time,High School,Single,1
10899.98,35,29000,2.4,Full-time,Some College,Married,3
10899.98,33,31300,2.6,part-time,Advanced,Single,1
10899.98,39,62800,5.2,self employed,Bachelor,Married,1
10899.98,29,57200,5.4,full-time,Some College,Married,1
10899.98,42,69300,5.5,ft,Bachelor,Divorced,1
10899.98,21,43600,3.7,contract,Bachelor,Single,1
10899.98,49,24300,11.1,part-time,Bachelor,Divorced,0
10899.98,39,59400,2.6,Full-time,Graduate,Single,0
10899.98,35,83700,2.9,ft,Bachelor,Married,1
10899.98,42,48100,2.9,Full-time,Some College,Divorced,0
10899.98,33,51400,5.7,Full-time,Some College,Single,0
10899.98,31,45700,4.2,Full-time,Bachelor,Married,2
10899.98,56,61500,3.6,ft,Bachelor,Married,2
10899.98,42,61200,3.5,Full-time,Some College,Married,4
10899.98,43,57300,3.1,Full-time,Bachelor,Single,1
10899.98,43,70200,11.2,fulltime,Graduate,Married,1
10899.98,50,55800,5.3,fulltime,High School,Married,2
10899.98,52,64900,6.1,Full-time,Bachelor,Married,3
10899.98,30,32800,4.7,full-time,Advanced,Single,4
10899.98,32,52500,2.1,Full-time,Graduate,Married,0
10899.98,43,104900,3.7,part time,Bachelor,Divorced,1
10899.98,30,34700,6.3,ft,Bachelor,Married,1
10899.98,24,35600,6.2,ft,High School,Single,0
10899.98,54,36000,3.0,ft,Graduate,Married,0
10899.98,53,33500,2.2,full-time,High School,Married,0
10899.98,37,28500,3.2,Full-time,High School,Married,2
10899.98,32,67300,5.9,Full-time,Bachelor,Married,2
10899.98,40,76700,2.6,self employed,Graduate,Married,2
10899.98,42,77600,2.4,ft,High School,Married,1
10899.98,32,23900,0.2,full-time,High School,Married,4
10899.98,21,48000,3.8,contract,Bachelor,Single,1
10899.98,47,30200,6.0,Full-time,Some College,Married,1
10899.98,39,34100,6.9,Full-time,High School,Single,2
10899.98,54,44300,11.2,Full-time,Graduate,Married,1
10899.98,38,40400,4.3,fulltime,High School,Married,2
10899.98,38,38800,2.5,Full-time,Graduate,Married,2
10899.98,36,95900,4.7,fulltime,Some College,Divorced,1
10899.98,29,31800,8.1,self employed,Bachelor,Married,1
10899.98,36,41400,2.5,fulltime,Graduate,Single,0
10899.98,30,23500,0.6,self employed,Bachelor,Single,1
10899.98,23,20300,2.2,ft,High School,Single,1
10899.98,36,46600,1.7,ft,Some College,Single,0
10899.98,43,40300,2.8,fulltime,Graduate,Married,3
10899.98,51,24000,4.8,fulltime,High School,Married,3
10899.98,51,28900,8.1,Full-time,Some College,Married,2
10899.98,32,31800,4.7,Full-time,High School,Married,2
10899.98,41,32900,10.1,ft,Some College,Single,0
10899.98,46,37900,5.4,full-time,Bachelor,Married,3
10899.98,26,43000,6.9,part-time,Some College,Married,1
