cust_num,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow
10000,5150.0,738.64,592.13,0.258,0.25840194174757203,0.115,0.841,142213.1,142213.1,26886.9,1330.77,15969.24,0.286407766990291,159913.1,3819.23
10001,2383.33,392.21,1013.86,0.59,0.58995944055944,0.425,0.971,75932.2,75932.2,2267.8,1406.07,16872.84,3.986013986013986,189932.2,977.26
10002,1725.0,204.07,317.81,0.303,0.30253913043478203,0.184,0.539,22314.6,22314.6,19085.4,521.88,6262.56,0.44927536231884,31614.6,1203.12
10003,2616.67,288.71,234.52,0.2,0.19996050955414002,0.09,0.147,8820.0,8820.0,51180.0,523.23,6278.76,0.277070063694267,17520.0,2093.4366666666665
10004,2050.0,248.77,334.81,0.28500000000000003,0.284673170731707,0.163,0.488,24253.6,24253.6,25446.4,583.58,7002.960000000001,0.292682926829268,31453.6,1466.42
10005,4675.0,1683.23,219.0,0.40700000000000003,0.406894117647058,0.047,0.28700000000000003,17707.9,17707.9,43992.1,1902.23,22826.76,0.13012477718360002,25007.9,2772.77
10006,3091.67,764.48,693.48,0.47200000000000003,0.47157735849056603,0.224,0.112,6462.4,6462.4,51237.6,1457.96,17495.52,0.557951482479784,27162.4,1633.71
10007,2883.33,745.77,605.07,0.468,0.468499421965317,0.21,0.23800000000000002,17421.6,17421.6,55778.4,1350.84,16210.080000000002,0.65028901734104,39921.6,1532.49
10008,2183.33,653.04,342.0,0.456,0.45574351145038106,0.157,0.429,8923.2,8923.2,11876.8,995.04,11940.48,0.435114503816793,20323.2,1188.2933333333335
10009,5008.33,297.42,360.0,0.131,0.131265224625623,0.07200000000000001,0.319,17513.1,17513.1,37386.9,657.4200000000001,7889.040000000001,0.199667221297836,29513.1,4350.913333333333
10010,1800.0,682.44,709.28,0.773,0.7731777777777771,0.394,0.47100000000000003,7818.6,7818.6,8781.4,1391.72,16700.64,4.587962962962963,106918.6,408.28
10011,1925.0,284.92,329.18,0.319,0.319012987012987,0.171,0.148,8199.2,8199.2,47200.8,614.1,7369.200000000001,0.670995670995671,23699.2,1310.9
10012,4491.67,225.34,2145.78,0.528,0.527893135435992,0.47800000000000004,0.183,22692.0,22692.0,101308.0,2371.12,28453.44,6.690166975881262,383292.0,2120.55
10013,1958.0,500.21,141.0,0.327,0.327426382978723,0.07200000000000001,0.589,18317.9,18317.9,12782.1,641.21,7694.52,0.2,23017.9,1317.12
10014,5958.33,1273.92,1323.28,0.436,0.43589370629370605,0.222,0.529,92627.9,92627.9,82472.1,2597.2,31166.4,3.103496503496503,314527.9,3361.13
10015,1758.0,693.08,758.64,0.8260000000000001,0.8256227488151661,0.431,0.558,11606.4,11606.4,9193.6,1451.72,17420.64,1.052132701421801,33806.4,306.61333333333323
10016,1767.0,701.94,171.0,0.494,0.49411698113207503,0.097,0.672,29904.0,29904.0,14596.0,872.94,10475.28,0.268867924528301,35604.0,893.73
10017,3033.33,800.93,580.12,0.455,0.45529120879120805,0.191,0.486,37276.2,37276.2,39423.8,1381.05,16572.6,0.5934065934065931,58876.2,1652.2833333333335
10018,1666.67,139.21,670.34,0.486,0.48573000000000005,0.402,0.161,3783.5,3783.5,19716.5,809.55,9714.6,5.525,114283.5,857.12
10019,9425.0,2447.45,192.0,0.28,0.28004774535809,0.02,0.34,119782.0,119782.0,232518.0,2639.45,31673.4,0.05658709106984901,126182.0,6785.55
10020,4466.67,392.05,423.22,0.183,0.182523134328358,0.095,0.498,28386.0,28386.0,28614.0,815.27,9783.24,0.236940298507462,41086.0,3651.396666666667
10021,1666.67,407.89,2668.47,1.846,1.845815999999999,1.601,0.62,26102.0,26102.0,15998.0,3076.36,36916.31999999999,20.55,437102.0,-1409.69
