,cust_num,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow
cust_num,1.0,0.0021858205777373378,-0.0004356090355911952,0.0005200017897883524,-0.0039919588178419915,-0.003993760669767462,-0.003183739282992089,-0.005661363272292807,-0.005281600228776608,-0.0048602214676064254,0.0015504839735420042,0.00015209685615210567,0.00015209685614890058,-0.004266281623896893,-0.0019365519616842057,0.0023167469947574584
monthly_income,0.0021858205777373378,1.0,0.7347169222389145,-0.038667528923320094,-0.3372898815796408,-0.3372845709755227,-0.3497854241263777,-0.06262275783199005,0.6273753275798942,0.6329296957476543,0.7126796917999287,0.4199132529801546,0.4199132529801555,-0.2494525252853262,0.13835237107291698,0.8686678471021756
existing_monthly_debt,-0.0004356090355911952,0.7347169222389145,1.0,-0.028239257293801785,-0.09068964523789536,-0.09068737667701454,-0.2577792394473327,-0.04674469824902053,0.45842674604333333,0.4626501263598619,0.5206555622472614,0.5912094072943378,0.5912094072943458,-0.18306710926698677,0.10195123134816812,0.48391743488955874
monthly_payment,0.0005200017897883524,-0.038667528923320094,-0.028239257293801785,1.0,0.8128320209211386,0.8128345353716911,0.8436511201776843,0.011511564103384974,-0.0225969426654466,-0.023038948848761176,-0.03153161200046995,0.7895011345708742,0.7895011345708685,0.8251143565023665,0.8878336113252765,-0.4734024820850876
debt_to_income_ratio,-0.0039919588178419915,-0.3372898815796408,-0.09068964523789536,0.8128320209211386,1.0,0.9999997117848243,0.9637633977704367,0.03246872048935332,-0.21490310471157165,-0.21694277196111703,-0.24071030723090067,0.6001423856412834,0.6001423856412883,0.893082933598493,0.6552576990751926,-0.6978936478723656
debt_service_ratio,-0.003993760669767462,-0.3372845709755227,-0.09068737667701454,0.8128345353716911,0.9999997117848243,1.0,0.9637646967434118,0.032466207266403264,-0.21490394630849818,-0.2169435272090199,-0.24070521968956626,0.6001458072829382,0.6001458072829259,0.8930849865934389,0.6552609009957742,-0.6978896849570119
payment_to_income_ratio,-0.003183739282992089,-0.3497854241263777,-0.2577792394473327,0.8436511201776843,0.9637633977704367,0.9637646967434118,1.0,0.03341184163334343,-0.22271330338076567,-0.2248154836231606,-0.2491579703089054,0.5224164610083707,0.5224164610083759,0.9259631733333261,0.6797157624826509,-0.6691856242263757
credit_utilization,-0.005661363272292807,-0.06262275783199005,-0.04674469824902053,0.011511564103384974,0.03246872048935332,0.032466207266403264,0.03341184163334343,1.0,0.42908518385936933,0.43253100536437367,-0.4235624715430032,-0.01941297380053613,-0.019412973800535825,0.019467252808000317,0.10183865543922481,-0.058155797083165886
revolving_balance,-0.005281600228776608,0.6273753275798942,0.45842674604333333,-0.0225969426654466,-0.21490310471157165,-0.21490394630849818,-0.22271330338076567,0.42908518385936933,1.0,0.992050492881534,0.4252449780061127,0.2632391416488669,0.2632391416488608,-0.15863005827578847,0.22580816366267933,0.5450923948686797
credit_usage_amount,-0.0048602214676064254,0.6329296957476543,0.4626501263598619,-0.023038948848761176,-0.21694277196111703,-0.2169435272090199,-0.2248154836231606,0.43253100536437367,0.992050492881534,1.0,0.4290411276233506,0.2654756434683623,0.2654756434683535,-0.160008181711814,0.22756273218367418,0.5499696394877823
available_credit,0.0015504839735420042,0.7126796917999287,0.5206555622472614,-0.03153161200046995,-0.24071030723090067,-0.24070521968956626,-0.2491579703089054,-0.4235624715430032,0.4252449780061127,0.4290411276233506,1.0,0.2942384118765436,0.29423841187654276,-0.1747421518960838,0.09494129073575118,0.6218248850245415
total_monthly_debt_payment,0.00015209685615210567,0.4199132529801546,0.5912094072943378,0.7895011345708742,0.6001423856412834,0.6001458072829382,0.5224164610083707,-0.01941297380053613,0.2632391416488669,0.2654756434683623,0.2942384118765436,1.0,1.0000000000000098,0.5533330581608331,0.778936994768642,-0.0848376111995565
annual_debt_payment,0.00015209685614890058,0.4199132529801555,0.5912094072943458,0.7895011345708685,0.6001423856412883,0.6001458072829259,0.5224164610083759,-0.019412973800535825,0.2632391416488608,0.2654756434683535,0.29423841187654276,1.0000000000000098,1.0,0.5533330581608416,0.7789369947686465,-0.08483761119955567
loan_to_annual_income,-0.004266281623896893,-0.2494525252853262,-0.18306710926698677,0.8251143565023665,0.893082933598493,0.8930849865934389,0.9259631733333261,0.019467252808000317,-0.15863005827578847,-0.160008181711814,-0.1747421518960838,0.5533330581608331,0.5533330581608416,1.0,0.8086731537359825,-0.5759074025617384
total_debt_amount,-0.0019365519616842057,0.13835237107291698,0.10195123134816812,0.8878336113252765,0.6552576990751926,0.6552609009957742,0.6797157624826509,0.10183865543922481,0.22580816366267933,0.22756273218367418,0.09494129073575118,0.778936994768642,0.7789369947686465,0.8086731537359825,1.0,-0.2732894875621962
monthly_free_cash_flow,0.0023167469947574584,0.8686678471021756,0.48391743488955874,-0.4734024820850876,-0.6978936478723656,-0.6978896849570119,-0.6691856242263757,-0.058155797083165886,0.5450923948686797,0.5499696394877823,0.6218248850245415,-0.0848376111995565,-0.08483761119955567,-0.5759074025617384,-0.2732894875621962,1.0
